Angle   Distance(IR in cm)      Distance(Ping in cm)
0       46                              41
2       46                              142
4       46                              142
6       46                              42
8       51                              238
10      46                              40
12      46                              40
14      46                              40
16      46                              40
18      50                              40
20      46                              40
22      83                              39
24      117                             40
26      114                             39
28      116                             39
30      120                             39
32      117                             39
34      116                             40
36      118                             40
38      119                             39
40      119                             39
42      129                             39
44      97                              39
46      47                              40
48      46                              40
50      51                              40
52      47                              43
54      46                              40
56      46                              39
58      46                              40
60      46                              39
62      46                              39
64      48                              39
66      99                              39
68      115                             38
70      116                             38
72      115                             39
74      117                             39
76      119                             38
78      121                             38
80      105                             38
82      47                              39
84      46                              40
86      46                              39
88      52                              38
90      48                              38
92      49                              38
94      76                              38
96      104                             37
98      118                             38
100     117                             37
102     120                             38
104     124                             38
106     119                             37
108     113                             38
110     51                              38
112     46                              38
114     46                              38
116     46                              39
118     46                              39
120     47                              39
122     47                              44
124     55                              40
126     49                              41
128     46                              43
130     47                              42
132     46                              42
134     46                              42
136     46                              41
138     104                             41
140     113                             41
142     115                             42
144     112                             41
146     111                             41
148     116                             41
150     111                             40
152     114                             41
154     102                             42
156     71                              37
158     55                              33
160     50                              42
162     55                              42
164     53                              43
166     60                              42
168     55                              42
170     55                              44
172     55                              42
174     50                              43
176     52                              49
178     61                              40
180     53                              37
